"Código Producto","Producto"
"3706","OTROS MINERALES NO METÁLICOS "
"3801","PRODUCTOS BÁSICOS DE HIERRO Y ACERO"
"3802","PRODUCTOS PRIMARIOS DE METALES PRECIOSOS Y METALES NO FERROSOS"
"3901","PRODUCTOS METÁLICOS ESTRUCTURALES Y SUS PARTES"
"3902","OTROS PRODUCTOS METÁLICOS ELABORADOS "
"4001","MAQUINARIA PARA USOS GENERALES, SUS PARTES Y PIEZAS"
"4002","MAQUINARIA PARA USOS ESPECIALES, SUS PARTES Y PIEZAS; EXC. APARATOS DE USO DOMÉSTICO"
"4003","APARATOS DE USO DOMÉSTICO, SUS PARTES Y PIEZAS"
"4004","MAQUINARIA DE OFICINA Y DE CONTABILIDAD; SUS PARTES Y PIEZAS"
"4005","MAQUINARIA Y APARATOS ELÉCTRICOS, Y SUS PARTES Y PIEZAS"
"4006","EQUIPOS Y APARATOS PARA RADIO, TELEVISIÓN Y COMUNICACIONES"
"4007","APARATOS MÉDICOS, INSTRUMENTOS ÓPTICOS Y DE PRECISIÓN, RELOJES; SUS PARTES Y PIEZAS"
"4008","EQUIPOS DE TRANSPORTES, SUS PARTES Y PIEZAS"
"4101","MUEBLES"
"4201","JOYAS Y ARTÍCULOS CONEXOS"
"4202","INSTRUMENTOS MUSICALES"
"4203","ARTÍCULOS DE DEPORTE"
"4204","JUEGOS Y JUGUETES"
"4205","OTROS ARTÍCULOS MANUFACTURADOS N.C.P."
"4301","DESPERDICIOS Y DESECHOS"
"4401","SERVICIOS DE MANTENIMIENTO, REPARACIÓN E INSTALACIÓN DE MAQUINARIA Y EQUIPOS COMERCIAL E INDUSTRIAL"
"4402","SERVICIOS DE MANUFACTURA"
"4501","ENERGÍA ELÉCTRICA, GAS, VAPOR Y AIRE ACONDICIONADO"
"4502","DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA, GAS, VAPOR Y AIRE ACONDICIONADO"
"4503","TRANSMISIÓN DE ENERGÍA ELÉCTRICA"
"4601","AGUA NATURAL Y DISTRIBUCIÓN DE AGUA NATURAL"
"4602","EVACUACIÓN DE AGUAS RESIDUALES"
"4603","RECOGIDA, TRATAMIENTO Y ELIMINACIÓN DE DESECHOS"
"4701","EDIFICACIONES RESIDENCIALES"
"4702","EDIFICACIONES NO RESIDENCIALES"
"4703","OBRAS DE INGENIERÍA CIVIL"
"4704","SERVICIOS DE CONSTRUCCIÓN"
"4801","SERVICIOS DE COMERCIO"
"4802","SERVICIOS DE REPARACIÓN Y MANTENIMIENTO DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS"
"4901","SERVICIOS DE TRANSPORTE DE PASAJEROS POR VÍA TERRESTRE"
"4902","SERVICIOS DE TRANSPORTE DE CARGA POR VÍA TERRESTRE"
"4903","SERVICIOS DE TRANSPORTE POR VÍA FÉRREA"
"4904","SERVICIOS DE TRANSPORTE POR TUBERÍAS"
"4905","SERVICIOS DE TRANSPORTE MARÍTIMO POR VÍA ACUÁTICA"
"4906","SERVICIOS DE TRANSPORTE DE PASAJEROS POR VÍA AÉREA"
"4907","SERVICIOS DE TRANSPORTE DE CARGA VÍA AÉREA"
"4908","SERVICIOS DE ALMACENAMIENTO Y DEPÓSITO"
"4909","SERVICIOS DE APOYO AL TRANSPORTE POR VÍA ACUÁTICA"
"4910","SERVICIOS DE AEROPUERTOS"
"4911","OTROS SERVICIOS DE APOYO AL TRANSPORTE"
"5001","SERVICIOS POSTALES Y DE MENSAJERÍA"
"5101","SERVICIOS DE ALOJAMIENTO"
"5102","SERVICIOS DE SUMINISTRO DE COMIDA Y BEBIDAS "
"5201","SERVICIOS DE RADIO, DE TELEVISIÓN, PELÍCULAS, VIDEOS Y OTROS AFINES "
"5202","SERVICIOS DE INFORMACIÓN, PROGRAMACIÓN Y CONSULTORÍA INFORMÁTICA, EDICIÓN DE PROGRAMAS INFORMÁTICOS Y AFINES"
"5203","SERVICIOS DE TELEFONÍA Y OTROS SERVICIOS DE TELECOMUNICACIONES"
"5301","SERVICIOS FINANCIEROS, EXCEPTO SEGUROS Y FONDOS DE PENSIONES"
"5302","SERVICIOS DE INTERMEDIACIÓN FINANCIERA MEDIDOS INDIRECTAMENTE (SIFMI)"
"5303","SERVICIOS DE SEGUROS, REASEGUROS Y FONDOS DE PENSIONES"
"5304","SERVICIOS AUXILIARES DE LA INTERMEDIACIÓN FINANCIERA DISTINTOS DE LOS SERVICIOS DE SEGUROS Y PENSIONES"
"5305","SERVICIOS AUXILIARES DE SEGURO Y FONDOS DE PENSIONES"
"5401","SERVICIOS DE ALQUILER DE VIVIENDA"
"5402","OTROS SERVICIOS INMOBILIARIOS"
"5501","SERVICIOS JURÍDICOS"
"5502","SERVICIOS DE CONTABILIDAD, AUDITORÍA, TENEDURÍA DE LIBROS Y CONSULTORÍA FISCAL"
"5601","SERVICIOS DE ARQUITECTURA E INGENIERÍA, ENSAYOS Y ANÁLISIS TÉCNICO"
"5701","SERVICIOS DE INVESTIGACIÓN CIENTÍFICAS Y DESARROLLO"
